date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
2026-03-26,0.188,-0.5814,bmo,4,75364000.0,4651200.0,MGTX,2025
2026-03-26,0.2447,0.0,amc,4,0.0,0.0,ORMP,2025
2026-03-26,,,,4,,,CVR,2025
2026-03-26,-0.9,-0.6818,amc,4,5220000.0,17978000.0,XOS,2025
2026-03-26,,,,4,,,VATE,2025
2026-03-26,,,,4,,,OACC,2025
2026-03-26,3.47,1.9973,amc,4,262050000.0,257868402.0,AGX,2026
2026-03-26,,,,4,,,PRZO,2025
2026-03-26,,,,4,,,SGP,2025
2026-03-26,,-0.2632,amc,4,,9361560.0,SSKN,2025
2026-03-26,-1.5,-3.4034,bmo,4,0.0,0.0,QNRX,2025
2026-03-26,-0.07,-0.0306,amc,4,2913000.0,5480970.0,VTSI,2025
2026-03-26,-0.07,-0.068,amc,4,1461000.0,5100000.0,RANI,2025
2026-03-26,-0.04,-0.0612,amc,4,0.0,102000.0,MBOT,2025
2026-03-26,,,amc,4,,,MBIO,2025
2026-03-26,,,,4,,,PBBK,2025
2026-03-26,,,,4,,,WRAP,2025
2026-03-26,-0.2,0.0729,bmo,4,267734000.0,266430252.0,LMRI,2025
2026-03-26,,,,4,,,GTERA,2025
2026-03-26,-0.12,-0.1872,bmo,4,29125000.0,24413190.0,PONY,2025
2026-03-26,-0.09,-0.1042,amc,4,0.0,0.0,IKT,2025
2026-03-26,,,bmo,4,,,PULM,2025
2026-03-26,-0.28,-0.1122,amc,4,27042000.0,31039416.0,BLNK,2025
2026-03-26,,,,4,,,INTI,2025
2026-03-26,,,,4,,,GPAT,2025
2026-03-26,-0.09,0.0237,amc,4,374486000.0,375556551.0,OXM,2026
2026-03-26,-0.02,-0.1493,amc,4,3918000.0,4275530.0,CV,2025
2026-03-26,,,,4,,,GBCS,2025
2026-03-26,-0.433,-0.576,amc,4,59882000.0,60372861.0,BTGO,2025
2026-03-26,-1.0923,-0.2193,amc,4,0.0,0.0,RNTX,2025
2026-03-26,0.33,0.3366,bmo,4,254066000.0,258913056.0,SCVL,2026
2026-03-26,,,,4,,,SFRX,2025
2026-03-26,,,,4,,,PACH,2025
2026-03-26,-0.42,-1.2674,bmo,4,0.0,0.0,MTVA,2025
2026-03-26,-0.12,,amc,4,0.0,,NRDE,2025
2026-03-26,,,,4,,,CEPF,2025
2026-03-26,-0.71,-0.5457,amc,4,4744000.0,4917930.0,WKSP,2025
2026-03-26,0.12,0.1326,bmo,4,20241000.0,,FGBI,2025
2026-03-26,-3.46,-1.3022,amc,4,0.0,0.0,LONA,2025
2026-03-26,-0.31,-0.3774,amc,4,20000.0,153000.0,BRTX,2025
2026-03-26,,,,4,,,LADX,2025
2026-03-26,1.16,1.3162,bmo,2,2132018000.0,2111651187.0,CMC,2026
2026-03-26,-2.47,-0.9812,bmo,4,0.0,0.0,MPLT,2025
2026-03-26,,,amc,4,,,VRMMQ,2025
2026-03-26,-0.02,-0.0918,amc,4,52240770.0,44872860.0,NMAX,2025
2026-03-26,,-0.204,bmo,4,,126786000.0,ATLN,2025
2026-03-26,-0.048,-0.085,bmo,4,0.0,0.0,CGTX,2025
2026-03-26,,,,4,,,RVP,2025
2026-03-26,-0.785,-0.7057,bmo,4,668000.0,614413.0,UPB,2025
2026-03-26,-0.09,-0.102,amc,4,0.0,0.0,VANI,2025
2026-03-26,-0.31,-0.5,bmo,4,713589000.0,726099100.0,DBI,2026
2026-03-26,0.0,,amc,4,3310000.0,,CVSI,2025
2026-03-26,-0.41,-0.4622,bmo,4,0.0,0.0,ABOS,2025
2026-03-26,,-0.0102,amc,4,,4821540.0,HTCR,2025
2026-03-26,0.44,0.373,bmo,4,,36245016.0,MSIF,2025
2026-03-26,,,,4,,,CD,2025
2026-03-26,-0.13,-0.0714,amc,4,4478000.0,4386000.0,AMPG,2025
2026-03-26,-0.67,-0.1683,bmo,4,23561000.0,24267156.0,WYFI,2025
2026-03-26,,,,4,,,LVVP,2025
2026-03-26,-0.01,0.0204,bmo,4,18345000.0,18953130.0,RMTI,2025
2026-03-27,,-0.1122,amc,4,,0.0,VINC,2025
2026-03-27,,,,4,,,TTHG,2025
2026-03-27,,,,4,,,EESE,2025
2026-03-27,-1.21,-2.0469,bmo,4,0.0,0.0,TIL,2025
2026-03-27,,,,4,,,GYRO,2025
2026-03-27,,,,4,,,GDC,2025
2026-03-27,,-0.1632,amc,4,,127500.0,DRRX,2025
2026-03-27,,,,4,,,PRT,2025
2026-03-27,,,,4,,,VCIC,2025
2026-03-27,,,,4,,,LPAA,2025
2026-03-27,-1.31,-1.275,amc,4,0.0,0.0,INTS,2025
2026-03-27,,,,4,,,LCTC,2025
2026-03-27,,,,4,,,MTEX,2025
2026-03-27,-9.44,-3.3128,bmo,4,3200000.0,3745413.0,SLE,2025
2026-03-27,,,,4,,,HIRU,2025
2026-03-27,,,,4,,,ANSC,2025
2026-03-27,,,,4,,,DSAC,2025
2026-03-27,,,,4,,,SIMA,2025
2026-03-27,,,,4,,,STLY,2025
2026-03-27,,,,4,,,HYEX,2025
2026-03-27,,,,4,,,ACMTA,2025
2026-03-27,-1.33,-0.357,bmo,4,2366000.0,2856000.0,LMFA,2025
2026-03-27,,,,4,,,KBSR,2025
2026-03-27,,,bmo,4,,,NSYS,2025
2026-03-27,,,,4,,,KFII,2025
2026-03-27,-0.39,0.0392,bmo,4,737642000.0,626510463.0,LGN,2025
2026-03-27,-3.05,-3.0805,amc,4,2723000.0,2727000.0,ANY,2025
2026-03-27,,-1.6626,amc,4,,6609600.0,HOFV,2025
2026-03-27,,,,2,,,IMTE,2025
2026-03-27,,,,4,,,YJ,2025
2026-03-27,,,,4,,,EMPD,2025
2026-03-27,-1.04,-1.0639,bmo,4,0.0,0.0,KOD,2025
2026-03-27,,,,4,,,SFIO,2025
2026-03-27,,,,4,,,CNBZ,2025
2026-03-27,-0.61,-0.017,amc,4,32338030.0,32511990.0,BTBT,2025
2026-03-27,,,amc,4,,,SILO,2025
2026-03-27,-0.06,0.0102,amc,4,7962480.0,7856040.0,FORA,2025
2026-03-27,-0.13,-0.1343,bmo,4,467000.0,1369686.0,HUMA,2025
2026-03-27,,,,4,,,STRS,2025
2026-03-27,,,,2,,,LHSW,2026
2026-03-27,,,amc,4,,,SQFT,2025
2026-03-27,,,,4,,,LPBBU,2025
2026-03-27,,,bmo,4,,,HUIZ,2025
2026-03-27,,,amc,4,,,PRFX,2025
2026-03-27,,-0.6528,amc,4,,9690000.0,LAZR,2025
2026-03-27,,-0.0204,amc,4,,13770000.0,AIRI,2025
2026-03-27,,,,4,,,COE,2025
2026-03-27,,,,4,,,GSHR,2025
2026-03-27,,,,4,,,GPFT,2025
2026-03-27,,,,4,,,BBXIA,2025
2026-03-27,-1.44,-0.9737,amc,4,21000.0,0.0,AIM,2025
2026-03-27,,,,4,,,BDRX,2025
2026-03-27,,,,2,,,VERF,2026
2026-03-27,,,,4,,,SFWL,2025
2026-03-27,-0.49,0.357,bmo,4,1076000.0,15606000.0,FGNX,2025
2026-03-27,-0.92,-0.765,amc,4,2538000.0,2870616.0,KSCP,2025
2026-03-27,,,,4,,,CSLMF,2025
2026-03-27,,,,4,,,RDAG,2025
2026-03-27,,0.0102,amc,4,,18951600.0,PRHI,2025
